# time,euler_x,euler_y,euler_z
1.421365857124328613e+01,-1.844007448744666711e-02,-2.529959222150439668e-01,2.767371899826732928e+00
1.429607892036437988e+01,-2.921468323991982530e-02,-2.398433447277450448e-01,2.760933286478602255e+00
1.437846374511718750e+01,-4.063366016157865523e-02,-2.480076440001877103e-01,2.757827370705208558e+00
1.446195530891418457e+01,-3.817290036363396588e-02,-2.348636041174874123e-01,2.748980831657455326e+00
1.454554343223571777e+01,-4.700844932424619316e-02,-2.282374744746358264e-01,2.757468071690210465e+00
1.462949395179748535e+01,-7.075997149703883160e-02,-2.022657121714752648e-01,2.762827386172022948e+00
1.471454167366027832e+01,-8.935737460981019176e-02,-2.004322798677484752e-01,2.763123939360593084e+00
1.479738092422485352e+01,-1.004032067032516462e-01,-2.022924584231426959e-01,2.766587484820645315e+00
1.488066864013671875e+01,-1.085718458224096405e-01,-1.973250984241388117e-01,2.773945455230922619e+00
1.496418023109436035e+01,-1.288946669187989169e-01,-1.898473571905054946e-01,2.779820397844988911e+00
1.504683446884155273e+01,-1.207836744652364125e-01,-1.934488311302728913e-01,2.769399142078782017e+00
1.512908029556274414e+01,-1.374827945797714168e-01,-2.232228655614463264e-01,2.772154770258237200e+00
1.521267628669738770e+01,-1.064492639434326815e-01,-2.231159984344808223e-01,2.741376676031607396e+00
1.529757428169250488e+01,-9.200911537343148261e-02,-2.385665578573084034e-01,2.739307085297291167e+00
1.537995696067810059e+01,-8.106187409834864077e-02,-2.501959330379530666e-01,2.740799367719674251e+00
1.546354413032531738e+01,-8.583880186849701666e-02,-2.303361558491390237e-01,2.754021764956401164e+00
1.554657983779907227e+01,-8.259676235656931986e-02,-2.354776778108242929e-01,2.758281533014043774e+00
1.562958168983459473e+01,-9.083164111221941894e-02,-2.472043037894768869e-01,2.759404060502035794e+00
1.571606755256652832e+01,-1.162630082908762130e-01,-2.502560332316012826e-01,2.766332558363400196e+00
1.580116057395935059e+01,-2.964164211338853328e-01,-2.616581911262785276e-01,2.822759889699271163e+00
1.588488173484802246e+01,-5.909313679157344179e-01,-3.579278524900746383e-01,2.890135008577003006e+00
1.596906232833862305e+01,-3.506389652018482295e-02,-3.073766751424700239e-02,-3.052983315391080144e+00
1.606243324279785156e+01,-3.573437820315938929e-02,-4.385179582452369829e-02,-3.049573732572511631e+00
1.614591383934020996e+01,-3.923798585852411591e-02,-4.718138467358534704e-02,-3.053052183506341333e+00
1.623067235946655273e+01,-3.908438908295863712e-02,-4.739278422353887521e-02,-3.049882582563359534e+00
1.632092547416687012e+01,-4.010741520391669646e-02,-4.266503189056991552e-02,-3.051131323538677442e+00
1.641118550300598145e+01,-3.949654381932998781e-02,-3.380536812753254239e-02,-3.063100450773960759e+00
1.649617958068847656e+01,-4.178406590094430051e-02,-3.247317380650693863e-02,-3.068169856467827472e+00
1.658608484268188477e+01,-4.372729193294233596e-02,-3.574385828567461232e-02,-3.064806715517923941e+00
1.667959833145141602e+01,-4.851093581310017555e-02,-3.418963225142679363e-02,-3.062471597518249045e+00
1.676314735412597656e+01,-5.009880315262016381e-02,-3.527743158272489410e-02,-3.067002422878970957e+00
1.684644103050231934e+01,-5.314696645388661267e-02,-3.449131219432954865e-02,-3.076443137006514394e+00
1.693672323226928711e+01,-5.485294528415884940e-02,-3.291896828268803255e-02,-3.084474029046149646e+00
1.702876877784729004e+01,-5.494660654403160649e-02,-3.374608680102486602e-02,-3.081981807915830984e+00
1.711215090751647949e+01,-5.564559530695101230e-02,-3.546595024741505675e-02,-3.076840369003420061e+00
1.720174217224121094e+01,-5.342522787927639349e-02,-3.962848850841371728e-02,-3.077158892843125493e+00
1.728941774368286133e+01,-5.339226619302639421e-02,-3.911535009739064428e-02,-3.076318148767170246e+00
1.737304663658142090e+01,-5.385614363329849219e-02,-3.912658209209496363e-02,-3.074979562212568851e+00
1.746071815490722656e+01,-5.385614363329849219e-02,-3.912658209209496363e-02,-3.074979562212568851e+00
1.754874515533447266e+01,-5.025259253177338792e-02,-4.514673382660938650e-02,3.138827714444178074e+00
1.763114047050476074e+01,-5.012521050272433776e-02,-4.499635640508303780e-02,3.139363632381898306e+00
1.771448254585266113e+01,-5.033142238571897131e-02,-4.411043972220274334e-02,3.140293256246655673e+00
1.779749679565429688e+01,-5.243038343414974101e-02,-4.394265196169655496e-02,-3.140305242981829892e+00
1.788182830810546875e+01,-5.243038343414974101e-02,-4.394265196169655496e-02,-3.140305242981829892e+00
1.796635246276855469e+01,-5.777466627442406910e-02,-4.412916845787084874e-02,-3.139991791404901811e+00
1.805064940452575684e+01,-5.864680409571931818e-02,-4.133144174824088246e-02,3.140620999715301842e+00
1.813414621353149414e+01,-6.025902641389779824e-02,-4.017119986664186015e-02,-3.141067954046425470e+00
1.821686100959777832e+01,-6.044553765762361586e-02,-4.259491974299245420e-02,-3.138554124850935878e+00
1.830135703086853027e+01,-5.946234692314922299e-02,-4.201256483393600583e-02,-3.136436942911793313e+00
1.838347458839416504e+01,-5.946234692314922299e-02,-4.201256483393600583e-02,-3.136436942911793313e+00
1.846647906303405762e+01,-5.946234692314922299e-02,-4.201256483393600583e-02,-3.136436942911793313e+00
1.854876184463500977e+01,1.173515535164209034e-01,-2.241637294623799459e-01,2.783181634411529881e+00
